,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid,cluster_label
3503,0.116079215,0.197449768,0.166666667,0.029342104,0.330005262,0.456821812,0.27909883,0.081352651,0.051527795,0.319812014,0.25043122,0.502857143,0.101,0,0,0,0.196445551,0
1342,0.088766092,0.125032841,0.166666667,0.088022461,0.114577915,0.650510216,0.247352347,0.055617244,0.036757777,0.419669222,0.237386805,0.445714286,0.136,0.008994516,0,0,0.162109467,0
416,0.100522304,0.150327027,0.166666667,0.097043101,0.554217207,0.969350575,0.263679885,0.065948987,0.042944039,0.584628395,0.328050884,0.350857143,0.072,0.004286411,0.701021356,0.545038168,0.181709921,1
72,0.093696355,0.045442804,0.166666667,0.034092342,0.01949685,0.14623314,0.279033372,0.052999365,0.039319825,0.776537784,0.291612764,0.331428571,0.223,0.005056063,0,0,0.200138762,2
2864,0.088397605,0.076241122,0.166666667,0.209525369,0.893855197,0.815872233,0.259448123,0.051764649,0.036568193,0.416591574,0.217335058,0.468571429,0.094,0.013101767,0,0,0.179500154,0
730,0.110239982,0.155678603,0.166666667,0.156483514,0.128201634,0.801846494,0.281049247,0.073405168,0.048254115,0.515325856,0.259594653,0.366857143,0.209,0.004987203,0.641597029,0.476335878,0.202742489,1
3773,0.111170653,0.054768867,0.166666667,0.134705601,0.81136056,0.769240136,0.314023005,0.065355742,0.048771761,0.439563029,0.241052178,0.457142857,0.16,0,0,0,0.239023989,0
3857,0.069396747,0.270701851,0.166666667,0.112615763,0.96653196,0.931461871,0.175713594,0.051116595,0.027162747,0.221063868,0.18941354,0.6,0,0,0,0,0.082869685,0
3434,0.07629573,0.048661507,0.166666667,0.112816429,0.474478347,0.827884174,0.240554857,0.041712885,0.030492306,0.331526486,0.215394567,0.571428571,0.212,0.008787325,0,0,0.159455693,0
1642,0.084711308,0.225014997,0.166666667,0.050933752,0.79981618,0.250862633,0.213651988,0.05991004,0.034686355,0.429165569,0.294631307,0.525714286,0.179,0.003614869,0,0,0.126710077,2
3202,0.076253283,0.293452788,0.166666667,0.097305088,0.134522155,0.848037534,0.182039842,0.058036992,0.030471518,0.400524032,0.169038379,0.605714286,0.34,0.002868007,0,0,0.091719661,0
314,0.072045942,0.186340945,0.166666667,0.03495399,0.449019961,0.480215915,0.199676806,0.047767484,0.028429503,0.452469743,0.259594653,0.531428571,0.217,0.00325716,0,0,0.109187985,2
941,0.118956316,0.189291764,0.166666667,0.154791743,0.198191887,0.888484445,0.287102271,0.082759444,0.053163236,0.491522604,0.234583872,0.445714286,0.056,0.004244363,0,0,0.209624591,0
5003,0.07200778,0.075865886,0.166666667,0.048402021,0.059948677,0.240153847,0.225029181,0.040623173,0.02841115,0.19694176,0.17097887,0.628571429,0.234,0.002106399,0,0,0.141271954,2
2282,0.072445336,0.09452808,0.166666667,0.098261113,0.546827269,0.964043412,0.221639446,0.042126563,0.028621762,0.333300986,0.234907288,0.525714286,0.422,0.002413163,0,0,0.135230384,0
642,0.129368442,0.061518245,0.166666667,0.201811755,0.700545692,0.640269337,0.350788542,0.078132125,0.059203223,0.557428639,0.261427339,0.371428571,0.058,0.008629494,0.667595172,0.461068702,0.282753508,1
1946,0.11860978,0.03928291,0.166666667,0.174511038,0.252544231,0.402456713,0.335019275,0.068908581,0.052965475,0.418671066,0.221647262,0.468571429,0.049,0.003056551,0,0,0.259742159,2
2809,0.090837089,0.168853342,0.166666667,0.186101876,0.536878727,0.72077406,0.239766928,0.060365457,0.037828232,0.325787088,0.187365244,0.531428571,0.257,0,0,0,0.162340453,0
5395,0.079949401,0.187341928,0.166666667,0.06792591,0.569208576,0.609156249,0.21432122,0.053686727,0.032295543,0.341133739,0.211405778,0.6,0,0.005174893,0,0,0.128783306,0
1651,0.072562286,0.16602072,0.166666667,0.046291834,0.699253532,0.03672786,0.205348691,0.046834463,0.028678122,0.425602706,0.277382492,0.52,0.137,0.009969531,0,0,0.114815576,2
4300,0.116529851,0.12286534,0.166666667,0.032834746,0.144836605,0.280778585,0.303774068,0.075017445,0.051782979,0.333897107,0.199331608,0.531428571,0.12,0,0,0,0.227514465,2
1309,0.079721036,0.399197076,0.166666667,0.309032872,0.992268505,0.246967081,0.161852802,0.068082776,0.032182038,0.435265413,0.172380336,0.471428571,0,0.004771481,0.840297122,0.679389313,0.091087657,1
1916,0.067317783,0.566891831,0.166666667,0.351783558,0.523120389,0.540463628,0.106776064,0.067776479,0.026179084,0.321877643,0.214747736,0.611428571,0.195,0.001638635,0,0,0.008787181,0
4413,0.076790302,0.129107189,0.166666667,0.113212562,0.973933457,0.332805346,0.222337051,0.047438811,0.030734797,0.289215754,0.15847348,0.634285714,0.047,0,0,0,0.139424065,2
2541,0.117457626,0.080288765,0.166666667,0.067217216,0.404761291,0.134318373,0.319326705,0.071840389,0.052309496,0.320754717,0.233613627,0.48,0.102,0,0,0,0.243532068,2
3084,0.079514948,0.111295692,0.166666667,0.055624091,0.752738409,0.445192761,0.23215153,0.048145464,0.032079696,0.345167954,0.197930142,0.565714286,0.209,0,0,0,0.14848642,2
1909,0.113063679,0.056606542,0.166666667,0.151685677,0.557875966,0.911406063,0.317515536,0.066777732,0.049829513,0.515894251,0.251078051,0.474285714,0.032,0.005411335,0,0,0.242473381,0
4913,0.091713204,0.175487133,0.166666667,0.183608008,0.709300172,0.42206597,0.239659068,0.061506175,0.038283593,0.24587914,0.202026736,0.48,0.373,0.002524071,0,0,0.157270308,2
389,0.092987898,0.145767553,0.166666667,0.178177203,0.847845169,0.528435064,0.250180782,0.060176976,0.038948771,0.625968697,0.227468737,0.410857143,0.268,0.002279098,0.732590529,0.447328244,0.168584777,1
3196,0.093733666,0.201072407,0.166666667,0.240669025,0.310140287,0.870968395,0.236504935,0.064950048,0.039339393,0.318536592,0.216472618,0.48,0.132,0.003730652,0,0,0.157244643,0
2934,0.090317984,0.138444623,0.166666667,0.191371246,0.376892477,0.383015053,0.24688747,0.057714475,0.037559132,0.207768982,0.207956016,0.565714286,0.223,0,0,0,0.162921768,2
4242,0.112426374,0.128179795,0.166666667,0.131527442,0.958282579,0.987873018,0.293864845,0.072589561,0.049472688,0.210846631,0.181651574,0.537142857,0.0493,0,0,0,0.213813139,0
2821,0.089436779,0.13713186,0.166666667,0.215955131,0.258894331,0.058657884,0.245490493,0.056988499,0.037103524,0.317663205,0.180789133,0.537142857,0.256,0,0,0,0.164216574,2
3969,0.088147519,0.148566447,0.166666667,0.221932849,0.060352183,0.844603983,0.239931654,0.056910161,0.036439677,0.314128069,0.183807676,0.52,0.264,0.004929921,0,0,0.158606178,0
5226,0.074580038,0.094435149,0.166666667,0.126137247,0.705301571,0.24385599,0.226077042,0.043590374,0.029655009,0.158290935,0.165804226,0.582857143,0.383,0,0,0,0.141382314,2
4893,0.068611478,0.216618891,0.166666667,0.038049643,0.732303165,0.131080421,0.186444567,0.047117701,0.026790113,0.332524642,0.250970246,0.577142857,0.279,0.002215722,0,0,0.094127049,2
5531,0.117226882,0.146859893,0.166666667,0.016530364,0.344173846,0.185421453,0.297474257,0.077664242,0.052178404,0.433158194,0.220245796,0.537142857,0.044,0,0,0,0.219106571,2
5949,0.109868913,0.114727149,0.166666667,0.132797224,0.881475941,0.092407906,0.292866796,0.069627173,0.048048163,0.340177173,0.161060802,0.537142857,0.192,0,0,0,0.213553922,2
3361,0.008052235,0.525093922,0.166666667,0.145130715,0.423464768,0.152930536,0.044676946,0.010034948,0.002468,0.094866427,0.023393704,0.862857143,0.21,0,0,0,0.001293864,2
2589,0.077194667,0.130511382,0.166666667,0.089502984,0.62138024,0.460321291,0.222807615,0.04781966,0.030933433,0.344155934,0.264014661,0.525714286,0.605,0.009500305,0,0,0.13690375,2
186,0.096870958,0.269315053,0.166666667,0.154973158,0.060253555,0.546850926,0.223208912,0.072648209,0.040994348,0.584295676,0.261427339,0.283428571,0.044,0.006502133,0.658310121,0.53129771,0.136128664,1
3344,0.08392201,0.211203419,0.166666667,0.232471257,0.846904751,0.540718846,0.215735373,0.058326434,0.034286927,0.402492618,0.170871065,0.502857143,0.029,0.113954906,0,0,0.130664559,2
5306,0.080897672,0.133653413,0.166666667,0.103148601,0.164196838,0.026021325,0.229420525,0.050662535,0.032767999,0.186599753,0.176153514,0.594285714,0,0.003255941,0,0,0.145348859,2
4095,0.101180259,0.168123363,0.166666667,0.132759855,0.05213297,0.843962851,0.259828479,0.067860964,0.043298037,0.237838437,0.188658905,0.542857143,0.277,0,0,0,0.177505974,0
5186,0.107163772,0.077241264,0.166666667,0.043701726,0.358118282,0.779725974,0.298655491,0.064578035,0.046554335,0.322348994,0.272746874,0.531428571,0.291,0.004585009,0,0,0.221814241,0
2652,0.082391672,0.086855685,0.166666667,0.06907898,0.540334285,0.879119247,0.244139663,0.048436493,0.033516041,0.377732799,0.289887883,0.514285714,0.256,0.003365509,0,0,0.161591032,0
3741,0.088186676,0.139136047,0.166666667,0.039433501,0.455442722,0.024597728,0.242485218,0.056245072,0.036459791,0.187791995,0.203967227,0.588571429,0.297,0,0,0,0.158778134,2
2023,0.076372546,0.152411071,0.166666667,0.106800697,0.192298732,0.809563181,0.215934503,0.048701305,0.030529937,0.401258786,0.217227253,0.554285714,0.173,0,0,0,0.129944652,0
5434,0.118880789,0.139956166,0.166666667,0.266128838,0.303163417,0.999012001,0.3029605,0.07822511,0.053120116,0.227122122,0.204614058,0.497142857,0.046,0.003998781,0,0,0.227253964,0
4193,0.095406028,0.047253289,0.166666667,0.109987139,0.433570425,0.982461738,0.28223675,0.054269877,0.040219238,0.438814412,0.273178094,0.508571429,0.097,0,0,0,0.203534258,0
4590,0.08288618,0.26574,0.166666667,0.037707755,0.394075999,0.689251547,0.200092731,0.061391716,0.033764629,0.212537951,0.188335489,0.617142857,0.129,0,0,0,0.11187538,0
447,0.117599089,0.208571136,0.166666667,0.186467165,0.103557937,0.81673274,0.278350327,0.083488681,0.052389911,0.597576699,0.253018542,0.405714286,0.052,0.004914442,0.61281337,0.46259542,0.200658481,1
1011,0.084332274,0.148588341,0.166666667,0.058540881,0.203313214,0.07000577,0.232448291,0.054168649,0.034494389,0.558315889,0.236308754,0.526285714,0.049,0.006288848,0.643454039,0.288549618,0.149187078,1
1515,0.091524341,0.206178838,0.166666667,0.127893233,0.3495609,0.262719572,0.231032376,0.063681325,0.038185305,0.405293,0.239111686,0.497142857,0.039,0.010585009,0,0,0.147094087,2
2223,0.104720634,0.047240835,0.166666667,0.038454774,0.142308166,0.677319043,0.302392851,0.060435152,0.045216733,0.335546837,0.276196636,0.497142857,0.1242,0.016459476,0,0,0.222472552,0
2912,0.095914253,0.219800897,0.166666667,0.235351931,0.084210627,0.061560478,0.235339135,0.068040371,0.040487682,0.435778354,0.157503234,0.514285714,0.242,0,0,0,0.152227112,2
325,0.075924971,0.211608442,0.166666667,0.348363932,0.089452743,0.662872934,0.200971387,0.05232204,0.030310852,0.628491814,0.203967227,0.352,0.0368,0.008802559,0.657381616,0.485496183,0.120728564,1
2107,0.082033869,0.002457113,0.166666667,0.158065177,0.911005012,0.171543831,0.264517279,0.042279416,0.03333648,0.35124007,0.233613627,0.52,0.051,0.004204753,0,0,0.181691955,2
3263,0.119230979,0.142090452,0.166666667,0.013451737,0.389430423,0.019411173,0.302959247,0.078669347,0.053320131,0.425879972,0.252910737,0.52,0.087,0,0,0,0.226639284,2
687,0.095399858,0.154686678,0.166666667,0.149922612,0.474743994,0.386604292,0.252449931,0.062599161,0.040215982,0.529785258,0.273717119,0.422285714,0.068,0.011499086,0.705663881,0,0.168614292,1
4510,0.080148412,0.279642073,0.166666667,0.334130685,0.000910988,0.841831095,0.191944554,0.060202045,0.032394545,0.41577364,0.215825787,0.514285714,0.412,0.002338147,0,0,0.110898565,0
4427,0.078483172,0.264842827,0.166666667,0.06989192,0.235564917,0.590870892,0.192717646,0.057874872,0.031568621,0.315264858,0.224342389,0.577142857,0.281,0,0,0,0.101026989,0
1513,0.071979321,0.222236439,0.166666667,0.065954374,0.405154501,0.498240105,0.191292497,0.050029743,0.028397466,0.56309872,0.266925399,0.542857143,0.228,0.006360756,0,0,0.099641201,0
1734,0.117918664,0.144703187,0.166666667,0.228824361,0.025926821,0.766302565,0.299527781,0.077966352,0.052571706,0.561282631,0.263799051,0.388571429,0.051,0.007677636,0,0,0.226513525,0
