full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,diameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
  4398 Chiara (1984 HC2),2.36571266,0.065535442,,4.970365639,113.4681019,326.6444866,2.210674636,2.520750685,3.638741411,15232,0,2859,12.8,6.871,0.215,,,,,,N,N,1.22837
  4399 Ashizuri (1984 UA),2.576230605,0.171656419,,12.08229246,244.0470954,54.03979,2.134004086,3.018457123,4.135093224,24634,0,2062,12.5,8.785,0.275,2.829,,,,,N,N,1.142
  4400 Bagryana (1985 QH4),2.368247666,0.138765588,,4.376630475,352.1136878,27.33348659,2.039616387,2.696878945,3.644591679,23293,0,1960,13.7,5.373,0.185,,,,,,N,N,1.04187
  4401 Aditi (1985 TB),2.580317793,0.564718105,,26.64868723,22.90192717,68.11572216,1.123165618,4.037469967,4.14493761,12282,0,1022,16,1.801,0.343,6.67,,,,,Y,N,0.33004
  4402 Tsunemori (1987 DP),2.890953586,0.021224933,,7.715187753,177.8678336,228.3904482,2.829593289,2.952313883,4.91552468,16021,0,2149,11.9,9.211,0.367,,,,,,N,N,1.83972
  4403 Kuniharu (1987 EA),2.24289908,0.094428577,,3.08589815,34.01532098,142.0933403,2.031105312,2.454692848,3.359098983,19144,0,2152,13.6,4.82,0.247,,,,,,N,N,1.0364
  4404 Enirac (1987 GG),2.641258865,0.319065786,,30.32110085,145.6316591,64.42557937,1.798523529,3.483994201,4.292641835,14631,0,1761,12.9,6.233,0.239,2.9983,,,,,N,N,0.948824
  4405 Otava (1987 QD1),3.199643043,0.159909691,,9.448307578,139.9804138,199.4031148,2.687989113,3.711296974,5.723484328,13347,0,2050,11.6,16.034,0.207,2.879,,,,,N,N,1.67998
  4406 Mahler (1987 YD1),3.150093104,0.130285476,,1.904239484,100.5953878,90.30439323,2.739681726,3.560504483,5.591048856,31117,0,1611,12.9,13.058,0.086,,,,,,N,N,1.74104
  4407 Taihaku (1988 TF1),2.712138416,0.057600428,,4.718056741,256.9756401,89.1800245,2.555918081,2.868358751,4.466588853,17892,0,2235,12.5,9.316,0.311,,,,Sa,,N,N,1.553
