,full_name,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,condition_code,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,taxonomic_type,spec_T,near_eath_object,hazard_category,moid
171,   172 Baucis,0.24575196101710858,0.28793015665713717,0.10526315789473682,0.279387510402357,0.9236602047980719,1.0,0.2943909823376881,0.2072991263053308,0.1886580210745459,0.6427766120697754,0,0.12279226240538267,0.5934182590233545,0.12418699186991869,0.021141817962875176,0.8500477554918816,0.7618320610687023,L,S,N,E,0.28512308050108937
172,   173 Ino,0.3425792543042645,0.5323957288961244,0.12280701754385963,0.40067088959473074,0.412237566521592,0.6358894882840745,0.31316713102694543,0.36583176876182344,0.27472878743377904,0.6634461808274091,0,0.1820257118827346,0.47346072186836524,0.08130081300813008,0.002922242704549494,0.673352435530086,0.46564885496183206,Xk,C,N,E,0.3150173044111131
173,   174 Phaedra,0.3743094397620508,0.3579778034676466,0.10526315789473682,0.34043006404302667,0.9118152949871126,0.8043198880418226,0.3999402302305293,0.3540463559718501,0.30423736958453473,0.6737496476778053,0,0.15967800072089391,0.5605095541401275,0.15548780487804875,0.0025744199013858957,0.8194842406876791,0.7389312977099236,S,S,N,E,0.3988270368223066
174,   175 Andromache,0.4597408515036518,0.5953395905050058,0.10526315789473682,0.08194504434202646,0.05921863888335638,0.8901897994551181,0.394745928021064,0.5111242678514107,0.3867351072232622,0.6716670320378316,0,0.23128679562657695,0.5424628450106158,0.07926829268292683,0.004784722443657033,0.6743075453677173,0.5068702290076336,Cg,C,N,E,0.3862357196862912
175,   176 Iduna,0.4592824293666515,0.4339679344040878,0.10526315789473682,0.6468362056467655,0.557865882256123,0.5236538073863953,0.4543345654520197,0.4631940909268592,0.38628085210193136,0.6730763208167612,0,0.21062117025111138,0.5307855626326964,0.09146341463414634,0.007323743236110121,0.0,0.0,Ch,G,N,E,0.4495503380400089
176,   177 Irma,0.35087272656467033,0.5983680535346763,0.10526315789473682,0.028588998199123496,0.9659087526860719,0.1072376776052477,0.2992103449681463,0.39171575743938053,0.28238099751231366,0.5413861138078983,0,0.19944731467019103,0.6677282377919322,0.04573170731707317,0.009524022313363982,0.6972301814708691,0.5343511450381678,Ch,C:,N,E,0.29452820770949656
177,   178 Belisana,0.2673086494996097,0.10504864821940509,0.10526315789473682,0.04347492976529254,0.14206703221539052,0.5880191110761283,0.3686102449690841,0.18722205551847126,0.20728813301340604,0.6264914972910338,0,0.2013696984260483,0.6581740976645437,0.2315040650406504,0.008210691384177295,0.8634192932187202,0.7419847328244275,S,S,N,E,0.35781574796184645
178,   179 Klytaemnestra,0.40465203876888417,0.28119540348537825,0.10526315789473682,0.21557072592791832,0.7008850752157247,0.28636310374853996,0.45615406640538697,0.3639357801577946,0.3330357400175514,0.5511258651467226,0,0.16460410909527814,0.5254777070063695,0.18495934959349594,0.0072254790106843466,0.7946513849092647,0.6229007633587785,Sk,S,N,E,0.4524898163773774
179,   180 Garumna,0.3369843596816912,0.4239737160453863,0.10526315789473682,0.013669173263559408,0.8678425840435813,0.4892862098746965,0.34264448497420497,0.3325096012944308,0.26959092395240464,0.43572077291660144,0,0.1894749489366815,0.7547770700636944,0.22967479674796745,0.0180996534948113,0.7917860553963707,0.6885496183206107,Sq,S,N,E,0.3413342102626606
180,   181 Eucharis,0.44449258327237223,0.5260779302008312,0.10526315789473682,0.5369234883500339,0.39789538475899977,0.8864558349508825,0.4068001789295476,0.4742912876245836,0.3716915090331494,0.5881118662115186,0,0.168929472545957,0.4925690021231423,0.08638211382113821,0.042399274157206075,0.778414517669532,0.5786259541984733,Xk,S,N,E,0.4144511013115129
181,   182 Elsa,0.2552500789841927,0.4744541740280489,0.10526315789473682,0.0467143678810916,0.29815288241027427,0.8640842441448547,0.2512668180511755,0.25839914901943,0.19682828980693703,0.5213898719113088,0,0.16352276823260845,0.6284501061571125,0.18292682926829268,0.06626540137526396,0.8233046800382045,0.648854961832061,S,S,N,E,0.24939503008527497
182,   183 Istria,0.3553023216635064,0.8986968535456087,0.10526315789473682,0.754693781656727,0.394886567803698,0.7339998871189369,0.20509995729743188,0.4740486819362385,0.28648573359117524,0.5109454761830197,0,0.18166526492851134,0.6878980891719746,0.21443089430894305,0.007736932738488946,0.804202483285578,0.5480916030534351,S,S,N,E,0.2587971486157525
183,   184 Dejopeja,0.4611356939748459,0.16459457561096982,0.10526315789473682,0.02167381877748735,0.922659540843092,0.5839979640556552,0.5564284288285012,0.38579956045270974,0.3881180252018255,0.5859822742789139,0,0.2088189354799952,0.5424628450106158,0.20223577235772358,0.003172058294210836,0.6676217765042981,0.34656488549618314,X,X,N,E,0.550647933835562
184,   185 Eunike,0.3410474479200648,0.3266507934379805,0.10526315789473682,0.6632165638481732,0.4279767230985008,0.621649269191986,0.37761209316975447,0.3121403231885618,0.27332014908374364,0.634508784566722,0,0.26024270094917695,0.46921443736730367,0.046747967479674794,0.016327127928935724,0.6380133715377269,0.5053435114503817,C,C,N,E,0.3814489131000546
185,   186 Celuta,0.24080026220730072,0.3811616193359205,0.10526315789473682,0.37133187311389176,0.040908538901082245,0.8773673015680833,0.26369554244108706,0.2226998067501978,0.18442271003979097,0.6363721775077511,0,0.15186831671272377,0.6061571125265394,0.17977642276422764,0.014652266893997713,0.8204393505253106,0.6061068702290077,K,S,N,E,0.26147788065116223
186,   187 Lamberta,0.3382184655769436,0.6173034725677898,0.10526315789473682,0.295856822162257,0.060201598266705604,0.5466896988031011,0.28220277154359685,0.3825031200905834,0.2707225226640007,0.530456296389089,0,0.1768593055388682,0.5265392781316349,0.028455284552845534,0.006794555685582648,0.6771728748806114,0.5312977099236641,Ch,C,N,E,0.2751793999432564
187,   188 Menippe,0.34733862139488675,0.4559070505515292,0.10526315789473682,0.3283478889535332,0.6703116264857475,0.19403994177787606,0.342111654840301,0.35147093478579894,0.2791148788537127,0.4926873571137766,0,0.13672954463534784,0.6390658174097666,0.22967479674796745,0.007916841084952877,0.8510028653295129,0.5893129770992366,S,S,N,E,0.3411236028075779
188,   189 Phthia,0.26478751727698213,0.0872232030509789,0.10526315789473682,0.13877876913013504,0.565986310030413,0.464273573469588,0.37098515824255823,0.1808302284936894,0.20509323775185334,0.6598603238232439,0,0.1969241859906284,0.6507430997876859,0.15650406504065043,0.016797459748977138,0.8634192932187202,0.749618320610687,Sa,S,N,E,0.3645431518127736
189,   190 Ismene,0.6737257962292983,0.423184441022286,0.10526315789473682,0.16785373059646386,0.4881696158736639,0.7537611543512426,0.6607744584998927,0.6839648107712324,0.6116603893274469,0.5754282672011525,0,0.17998317914213624,0.4660297239915075,0.05081300813008131,0.0032392240768907028,0.6523400191021967,0.4106870229007633,X,P,N,E,0.6610904832809272
190,   191 Kolga,0.38270053295135464,0.22791810461776724,0.10526315789473682,0.3226328339868432,0.4432035205705536,0.629568389534242,0.4520819997742747,0.3278492216944929,0.31214516537184134,0.6316745482446525,0,0.18971524690616365,0.6231422505307856,0.03048780487804878,0.012734957944539261,0.6446991404011462,0.39389312977099233,Cb,XC:,N,E,0.45035967240311237
191,   192 Nausikaa,0.25190499100913916,0.6262808443433416,0.15789473684210523,0.18587326554112177,0.9547888635794893,0.08418358339965146,0.2055481451373644,0.28855359354597243,0.193943927263184,0.6603300867495537,0,0.15787576594977773,0.41719745222929944,0.3160569105691057,0.00932612313225366,0.8853868194842408,0.7435114503816794,Sl,S,N,E,0.20096825273135305
192,   193 Ambrosia,0.3052151881762815,0.7592599323474861,0.10526315789473682,0.3363471801167307,0.9729787708871378,0.22738253894721316,0.2106747656917055,0.3799565624871274,0.2407939927450596,0.4548088064889919,0,0.09443710200648804,0.6878980891719746,0.33231707317073167,0.0032914831680064165,0.7745940783190067,0.4671755725190839,Sk,0,N,E,0.22270264122809424
193,   194 Prokne,0.30849617233136567,0.608924486846075,0.10526315789473682,0.5259074223254553,0.4432115021020891,0.4527381463420235,0.259235521120202,0.3474404534383243,0.24373808468432845,0.6649337634273903,0,0.2060555088309504,0.475583864118896,0.04166666666666667,0.011085798101953238,0.6914995224450813,0.5206106870229008,C,C,N,E,0.25168974874229744
194,   195 Eurykleia,0.37845968208013886,0.10597289451034952,0.10526315789473682,0.1908642980718936,0.01927744867894529,0.32893060044925077,0.4887258310103999,0.29128592892990707,0.3081431674387443,0.6338197989414676,0,0.21194280908326324,0.6167728237791933,0.03556910569105691,0.011807144900632425,0.6723973256924547,0.5908396946564886,Ch,C,N,E,0.4892347999334481
195,   196 Philomela,0.4412322030692537,0.03435915165153937,0.10526315789473682,0.1993760982374341,0.20112152146053883,0.5548250928175844,0.5827655415037902,0.3293393653016655,0.36849263179952285,0.6639785788105602,0,0.28186951820257117,0.3545647558386412,0.3313008130081301,0.0047932895077743625,0.8137535816618912,0.6885496183206107,S,S,N,E,0.5713626813819099
196,   197 Arete,0.3411050741025666,0.4180439287457723,0.10526315789473682,0.24387173885063398,0.22695939198618198,0.6842989943366519,0.34843003588706845,0.33531413644509794,0.2733731149379715,0.6638063324042467,0,0.23765469181785415,0.634819532908705,0.3628048780487805,0.0033149569236879,0.8672397325692455,0.7572519083969466,S,S,N,E,0.3437742480636901
197,   198 Ampella,0.2668509836201194,0.579418751949247,0.10526315789473682,0.2591357479390183,0.7464667874350048,0.24695354348620732,0.23179316308932094,0.2945668497048546,0.20688937569362603,0.551908803357239,0,0.13240418118466898,0.5445859872611466,0.25609756097560976,0.006545254119768347,0.845272206303725,0.6427480916030535,S,S,N,E,0.23303233516431449
