,sm_axis,eccentricity,mag_slope,incline,longitude,argument_of_perihelion,perihelion_distance,aphelion_distance,orbital_period,data_arc,no_obs_used,absolute_magnitude_parameter,albedo,rotation_period,bv_mag_difference,ub_mag_difference,moid
4541,0.11150390281194132,0.0560067453170033,0.16666666666666666,0.16532221298405542,0.2897636648726866,0.40321845571264664,0.31435585886377926,0.06568499363126432,0.04895749851633807,0.2261378287330348,0.19523501509271238,0.4742857142857143,0.21600000000000003,0.0017879341864716636,0.0,0.0,0.23665766468488378
4542,0.2195329241168887,0.10490240779669793,0.16666666666666666,0.21564550206608304,0.9038997281960499,0.23543370563921015,0.5204344692122368,0.14493835259878346,0.11877113020084712,0.31850886556777064,0.13928417421302286,0.3714285714285714,0.057,0.023684338817794026,0.0,0.0,0.47260098431955216
4543,0.010739359051618751,0.2789812170581358,0.16666666666666666,0.20734481843454258,0.06663791050627886,0.927541050372631,0.07425426106504997,0.005162569407418453,0.0033380420539249715,0.09812429817143332,0.08247089262613196,0.7942857142857144,0.0,0.022943327239488116,0.0,0.0,0.021814925399458313
4544,0.11815549865682486,0.14989704891096298,0.16666666666666666,0.02577537647890342,0.10198673456134541,0.19774910294280068,0.29831695042861095,0.07860545635774785,0.052706549196383255,0.3330098567923142,0.23447606727037515,0.5200000000000001,0.16,0.0,0.0,0.0,0.2221979347465958
4545,0.07787599452388497,0.066897352839187,0.16666666666666666,0.08913796691015792,0.5410609367753515,0.742668905313149,0.2395576068880999,0.04399508696009832,0.03126888013326137,0.3439895748131923,0.24051315222078481,0.5828571428571429,0.24100000000000002,0.0,0.0,0.0,0.15825841540819172
4546,0.09102933218127213,0.07589453011593546,0.16666666666666666,0.2643131313087759,0.9953373263967948,0.10441307449698806,0.265081674458971,0.05352373050999996,0.03792802280269097,0.5507465376457378,0.2104355325571367,0.4857142857142857,0.039,0.004694088970140158,0.0,0.0,0.18534153577982534
4547,0.07427506441906358,0.06907375202395526,0.16666666666666666,0.1210990583731351,0.0728378270225821,0.558807269212467,0.23139823093026127,0.04171444173676041,0.02950681326675594,0.3405376180111738,0.16860715825786976,0.6114285714285714,0.179,0.0,0.0,0.0,0.1448817536335455
4548,0.08199923166283278,0.17158569800759252,0.16666666666666666,0.04083024057221123,0.09037287130753077,0.14502732857461906,0.22212151393143173,0.05410176614123307,0.03331911152663406,0.32161424036155434,0.14284174213022854,0.6285714285714286,0.0,0.0,0.0,0.0,0.137707068677478
4549,0.116666922495085,0.24325526256932964,0.16666666666666666,0.0028877130120088736,0.048113551572093266,0.8665844732614688,0.26554151398034315,0.08589219492765535,0.051860671609268626,0.23593916792591463,0.21507115135834412,0.5485714285714286,0.076,0.0,0.0,0.0,0.18206153314206674
4550,0.08171061752533841,0.2958504399721494,0.16666666666666666,0.1775208891188787,0.4118346779003426,0.447239866542488,0.19054892779136073,0.06257285922648273,0.03317448085741977,0.1933788973146826,0.13766709788702028,0.64,0.064,0.0,0.0,0.0,0.09912764172098985
